sku,attribute_set_code,product_type,additional_attributes
powercore-nevatear-heavy-bag,Migration_Default,configurable,offline_product=No
4768,Migration_Default,simple,offline_product=No
19070800,Migration_Default,simple,offline_product=No
4813BDTC,Migration_Default,simple,offline_product=No
4812BDTC,Migration_Default,simple,offline_product=No
251001,Migration_Default,simple,offline_product=No
251201,Migration_Default,simple,offline_product=No
251501,Migration_Default,simple,offline_product=No
251008,Migration_Default,simple,offline_product=No
251208,Migration_Default,simple,offline_product=No
251508,Migration_Default,simple,offline_product=No
super-leather-heavy-bag,Migration_Default,configurable,offline_product=No
2229B,Migration_Default,simple,offline_product=No
2264G,Migration_Default,simple,offline_product=No
4241,Migration_Default,simple,offline_product=No
4242,Migration_Default,simple,offline_product=No
4215,Migration_Default,simple,offline_product=No
4250,Migration_Default,simple,offline_product=No
4264,Migration_Default,simple,offline_product=No
4444,Migration_Default,simple,offline_product=No
300800,Migration_Default,simple,offline_product=No
4223,Migration_Default,simple,offline_product=No
4251KIT,Migration_Default,simple,offline_product=Yes
4220-6,Migration_Default,simple,offline_product=Yes
4220-7,Migration_Default,simple,offline_product=No
4220-9,Migration_Default,simple,offline_product=Yes
leather-double-end-bag,Migration_Default,configurable,offline_product=No
501BLKWHT65,Migration_Default,simple,offline_product=No
501BLKWHT8,Migration_Default,simple,offline_product=No
501BLKWHT85,Migration_Default,simple,offline_product=No
501WHTBLK65,Migration_Default,simple,offline_product=No
501WHTBLK7,Migration_Default,simple,offline_product=No
501WHTBLK75,Migration_Default,simple,offline_product=No
501WHTBLK8,Migration_Default,simple,offline_product=No
501WHTBLK85,Migration_Default,simple,offline_product=No
501WHTBLK105,Migration_Default,simple,offline_product=No
501WHTBLK11,Migration_Default,simple,offline_product=No
501WHTBLK115,Migration_Default,simple,offline_product=No
501WHTBLK12,Migration_Default,simple,offline_product=No
501WHTBLK13,Migration_Default,simple,offline_product=No
lo-top-boxing-shoe,Migration_Default,configurable,offline_product=No
527BLKWHT65,Migration_Default,simple,offline_product=No
527BLKWHT7,Migration_Default,simple,offline_product=No
527BLKWHT75,Migration_Default,simple,offline_product=No
527BLKWHT8,Migration_Default,simple,offline_product=No
527BLKWHT85,Migration_Default,simple,offline_product=No
527BLKWHT9,Migration_Default,simple,offline_product=No
527BLKWHT95,Migration_Default,simple,offline_product=No
527BLKWHT10,Migration_Default,simple,offline_product=No
527BLKWHT105,Migration_Default,simple,offline_product=No
527BLKWHT11,Migration_Default,simple,offline_product=No
527BLKWHT115,Migration_Default,simple,offline_product=No
527BLKWHT12,Migration_Default,simple,offline_product=No
527BLKWHT13,Migration_Default,simple,offline_product=No
527BLKWHT14,Migration_Default,simple,offline_product=No
527WHTBLK65,Migration_Default,simple,offline_product=No
527WHTBLK7,Migration_Default,simple,offline_product=No
527WHTBLK75,Migration_Default,simple,offline_product=No
527WHTBLK8,Migration_Default,simple,offline_product=No
527WHTBLK85,Migration_Default,simple,offline_product=No
527WHTBLK9,Migration_Default,simple,offline_product=No
527WHTBLK105,Migration_Default,simple,offline_product=No
527WHTBLK115,Migration_Default,simple,offline_product=No
527WHTBLK13,Migration_Default,simple,offline_product=No
high-top-boxing-shoe,Migration_Default,configurable,offline_product=No
8800145,Migration_Default,simple,offline_product=No
8800245,Migration_Default,simple,offline_product=No
8800345,Migration_Default,simple,offline_product=No
8800445,Migration_Default,simple,offline_product=No
8800545,Migration_Default,simple,offline_product=No
8800645,Migration_Default,simple,offline_product=No
8800745,Migration_Default,simple,offline_product=No
8800845,Migration_Default,simple,offline_product=No
8800945,Migration_Default,simple,offline_product=No
8801045,Migration_Default,simple,offline_product=No
8801145,Migration_Default,simple,offline_product=No
8801245,Migration_Default,simple,offline_product=No
8801345,Migration_Default,simple,offline_product=No
8801445,Migration_Default,simple,offline_product=No
low-top-shoe-black,Migration_Default,configurable,offline_product=No
8800144,Migration_Default,simple,offline_product=No
8800244,Migration_Default,simple,offline_product=No
8800344,Migration_Default,simple,offline_product=No
8800444,Migration_Default,simple,offline_product=No
8800544,Migration_Default,simple,offline_product=No
8800644,Migration_Default,simple,offline_product=No
8800744,Migration_Default,simple,offline_product=No
8800844,Migration_Default,simple,offline_product=No
8800944,Migration_Default,simple,offline_product=No
8801044,Migration_Default,simple,offline_product=No
8801144,Migration_Default,simple,offline_product=No
8801244,Migration_Default,simple,offline_product=No
8801344,Migration_Default,simple,offline_product=No
8801444,Migration_Default,simple,offline_product=No
low-top-shoe-white,Migration_Default,configurable,offline_product=No
8801545,Migration_Default,simple,offline_product=No
8801645,Migration_Default,simple,offline_product=No
8801745,Migration_Default,simple,offline_product=No
8801845,Migration_Default,simple,offline_product=No
8801945,Migration_Default,simple,offline_product=No
8802045,Migration_Default,simple,offline_product=No
8802145,Migration_Default,simple,offline_product=No
8802245,Migration_Default,simple,offline_product=No
8802345,Migration_Default,simple,offline_product=No
8802445,Migration_Default,simple,offline_product=No
8802545,Migration_Default,simple,offline_product=No
8802645,Migration_Default,simple,offline_product=No
8802745,Migration_Default,simple,offline_product=No
8802845,Migration_Default,simple,offline_product=No
high-top-shoe-black,Migration_Default,configurable,offline_product=No
high-top-shoe-white,Migration_Default,configurable,offline_product=No
choice-of-champions-fitted-hat-red,Migration_Default,configurable,offline_product=No
choice-of-champions-fitted-hat-navy,Migration_Default,configurable,offline_product=No
9283549978,Migration_Default,simple,offline_product=No
9283550011,Migration_Default,simple,offline_product=No
ny-new-era-no-mas-fitted-hat-black,Migration_Default,configurable,offline_product=No
9283549923,Migration_Default,simple,offline_product=No
9283549930,Migration_Default,simple,offline_product=No
ny-new-era-no-mas-fitted-hat-grey,Migration_Default,configurable,offline_product=No
everlast-banners,Migration_Default,configurable,offline_product=No
720000,Migration_Default,simple,offline_product=No
6625B,Migration_Default,simple,offline_product=Yes
6626B,Migration_Default,simple,offline_product=Yes
6627B,Migration_Default,simple,offline_product=Yes
6628B,Migration_Default,simple,offline_product=Yes
6625R,Migration_Default,simple,offline_product=Yes
6626R,Migration_Default,simple,offline_product=Yes
6627R,Migration_Default,simple,offline_product=Yes
6628R,Migration_Default,simple,offline_product=Yes
6625RB,Migration_Default,simple,offline_product=Yes
6626RB,Migration_Default,simple,offline_product=Yes
6627RB,Migration_Default,simple,offline_product=Yes
6628RB,Migration_Default,simple,offline_product=Yes
elevated-boxing-ring,Migration_Default,configurable,offline_product=Yes
6625FLB,Migration_Default,simple,offline_product=Yes
6626FLB,Migration_Default,simple,offline_product=Yes
6627FLB,Migration_Default,simple,offline_product=Yes
6628FLB,Migration_Default,simple,offline_product=Yes
6625FLR,Migration_Default,simple,offline_product=Yes
6626FLR,Migration_Default,simple,offline_product=Yes
6627FLR,Migration_Default,simple,offline_product=Yes
6628FLR,Migration_Default,simple,offline_product=Yes
6625FLRB,Migration_Default,simple,offline_product=Yes
6626FLRB,Migration_Default,simple,offline_product=Yes
6627FLRB,Migration_Default,simple,offline_product=Yes
6628FLRB,Migration_Default,simple,offline_product=Yes
boxing-floor-ring,Migration_Default,configurable,offline_product=Yes
6663-18,Migration_Default,simple,offline_product=Yes
6663-20,Migration_Default,simple,offline_product=Yes
6663-22,Migration_Default,simple,offline_product=Yes
6663-24,Migration_Default,simple,offline_product=Yes
boxing-ring-padding,Migration_Default,configurable,offline_product=Yes
6654,Migration_Default,simple,offline_product=No
6655,Migration_Default,simple,offline_product=No
6667,Migration_Default,simple,offline_product=Yes
6667c,Migration_Default,simple,offline_product=Yes
6658,Migration_Default,simple,offline_product=No
6659,Migration_Default,simple,offline_product=Yes
6662,Migration_Default,simple,offline_product=Yes
EVPSBP,Migration_Default,simple,offline_product=Yes
EVFHBS,Migration_Default,simple,offline_product=Yes
EFHBSB,Migration_Default,simple,offline_product=Yes
EVGYM,Migration_Default,simple,offline_product=Yes
EVSTAND1,Migration_Default,simple,offline_product=Yes
EVSTAND2,Migration_Default,simple,offline_product=Yes
heavy-duty-complete-boxing-stand,Migration_Default,configurable,offline_product=Yes
EVHB10,Migration_Default,simple,offline_product=Yes
663918R,Migration_Default,simple,offline_product=No
663920R,Migration_Default,simple,offline_product=No
663922R,Migration_Default,simple,offline_product=Yes
663924R,Migration_Default,simple,offline_product=Yes
663918RB,Migration_Default,simple,offline_product=No
663920RB,Migration_Default,simple,offline_product=No
663922RB,Migration_Default,simple,offline_product=Yes
663924RB,Migration_Default,simple,offline_product=Yes
boxing-ring-canvas,Migration_Default,configurable,offline_product=Yes
6647R-82,Migration_Default,simple,offline_product=No
6647W-82,Migration_Default,simple,offline_product=No
6647RB-82,Migration_Default,simple,offline_product=No
boxing-ring-ropes,Migration_Default,configurable,offline_product=No
7502LXL,Migration_Default,simple,offline_product=No
4402B,Migration_Default,simple,offline_product=No
7773SM,Migration_Default,simple,offline_product=No
7773LXL,Migration_Default,simple,offline_product=No
striking-training-gloves,Migration_Default,configurable,offline_product=No
7560LXL,Migration_Default,simple,offline_product=No
7012,Migration_Default,simple,offline_product=No
7552,Migration_Default,simple,offline_product=No
7457BL,Migration_Default,simple,offline_product=No
mma-evergel-handwraps,Migration_Default,configurable,offline_product=No
4453R,Migration_Default,simple,offline_product=No
7951BLXL,Migration_Default,simple,offline_product=No
7404B,Migration_Default,simple,offline_product=No
7408B,Migration_Default,simple,offline_product=No
7517,Migration_Default,simple,offline_product=No
7330B,Migration_Default,simple,offline_product=No
MMA4657R,Migration_Default,simple,offline_product=Yes
MMA4657B,Migration_Default,simple,offline_product=Yes
mma-polycanvas-heavy-bag,Migration_Default,configurable,offline_product=No
MMA4657RKIT,Migration_Default,simple,offline_product=No
MMA4788,Migration_Default,simple,offline_product=No
MMA4812BDTC,Migration_Default,simple,offline_product=No
811206,Migration_Default,simple,offline_product=No
811406,Migration_Default,simple,offline_product=No
811606,Migration_Default,simple,offline_product=No
muay-thai-gloves,Migration_Default,configurable,offline_product=No
840206,Migration_Default,simple,offline_product=No
840406,Migration_Default,simple,offline_product=No
thai-shinguards,Migration_Default,configurable,offline_product=No
860206,Migration_Default,simple,offline_product=No
860406,Migration_Default,simple,offline_product=No
860606,Migration_Default,simple,offline_product=No
thai-headgear,Migration_Default,configurable,offline_product=No
851606,Migration_Default,simple,offline_product=No
852606,Migration_Default,simple,offline_product=No
850206,Migration_Default,simple,offline_product=Yes
850406,Migration_Default,simple,offline_product=No
muay-thai-pad,Migration_Default,configurable,offline_product=No
6512,Migration_Default,simple,offline_product=No
6513,Migration_Default,simple,offline_product=No
powercore-medicine-ball,Migration_Default,configurable,offline_product=No
7011,Migration_Default,simple,offline_product=No
4485,Migration_Default,simple,offline_product=No
6350RG,Migration_Default,simple,offline_product=No
6010G,Migration_Default,simple,offline_product=No
6020G,Migration_Default,simple,offline_product=No
evergrip-weighted-vest,Migration_Default,configurable,offline_product=No
6230B,Migration_Default,simple,offline_product=No
3112PLXL,Migration_Default,simple,offline_product=No
4403P,Migration_Default,simple,offline_product=No
boxing-apparel-composite,Migration_Default,configurable,offline_product=No
806030207,Migration_Default,simple,offline_product=No
807040104,Migration_Default,simple,offline_product=No
composite-sleeveless-boxing-apparel,Migration_Default,configurable,offline_product=Yes
boxing-apparel-authentic-tshirt,Migration_Default,configurable,offline_product=No
821020201,Migration_Default,simple,offline_product=No
821030201,Migration_Default,simple,offline_product=No
821040201,Migration_Default,simple,offline_product=No
821050201,Migration_Default,simple,offline_product=No
821060201,Migration_Default,simple,offline_product=No
822021902,Migration_Default,simple,offline_product=No
822031902,Migration_Default,simple,offline_product=No
822041902,Migration_Default,simple,offline_product=Yes
822051902,Migration_Default,simple,offline_product=No
