sku,attribute_set_code,product_type,additional_attributes
819061301,Migration_Default,simple,"color=Charcoal/Black Vertical T-Shirt,size=XXL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
820021607,Migration_Default,simple,"color=Orange/Grey Vertical T-Shirt,size=S,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
820031607,Migration_Default,simple,"color=Orange/Grey Vertical T-Shirt,size=M,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
820041607,Migration_Default,simple,"color=Orange/Grey Vertical T-Shirt,size=L,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
820051607,Migration_Default,simple,"color=Orange/Grey Vertical T-Shirt,size=XL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
820061607,Migration_Default,simple,"color=Orange/Grey Vertical T-Shirt,size=XXL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
boxing-apparel-vertical-tshirt,Migration_Default,configurable,"gender=male,google_product_category=Apparel & Accessories>Clothing>Shirts & Tops>T-Shirts,offline_product=No,filter_color=Black/Grey|Charcoal/Black|Navy/Aqua|Orange/Grey,sizing_chart_info=Size Chart_Men's Tees"
7800144,Migration_Default,simple,"color=Black Undefeated T-Shirt,size=S,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800149,Migration_Default,simple,"color=Grey Undefeated T-Shirt,size=S,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800151,Migration_Default,simple,"color=Grey Undefeated T-Shirt,size=L,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800152,Migration_Default,simple,"color=Grey Undefeated T-Shirt,size=XL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800153,Migration_Default,simple,"color=Grey Undefeated T-Shirt,size=XXL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800008,Migration_Default,simple,"color=White Undefeated T-Shirt,size=L,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800009,Migration_Default,simple,"color=White Undefeated T-Shirt,size=XL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800010,Migration_Default,simple,"color=White Undefeated T-Shirt,size=XXL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
undefeated-mens-t-shirt,Migration_Default,configurable,"product_attribute_badge=On Sale Badge,gender=male,google_product_category=Apparel & Accessories>Clothing>Shirts & Tops>T-Shirts,offline_product=No,filter_color=Black|Grey|White,sizing_chart_info=Size Chart_Men's Tees"
7800014,Migration_Default,simple,"color=Black Knockout T-Shirt,size=XL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800015,Migration_Default,simple,"color=Black Knockout T-Shirt,size=XXL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800154,Migration_Default,simple,"color=White Knockout T-Shirt,size=S,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800155,Migration_Default,simple,"color=White Knockout T-Shirt,size=M,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800156,Migration_Default,simple,"color=White Knockout T-Shirt,size=L,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800157,Migration_Default,simple,"color=White Knockout T-Shirt,size=XL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800158,Migration_Default,simple,"color=White Knockout T-Shirt,size=XXL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800159,Migration_Default,simple,"color=Grey Knockout T-Shirt,size=S,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800160,Migration_Default,simple,"color=Grey Knockout T-Shirt,size=M,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800161,Migration_Default,simple,"color=Grey Knockout T-Shirt,size=L,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800162,Migration_Default,simple,"color=Grey Knockout T-Shirt,size=XL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
knock-out-mens-t-shirt,Migration_Default,configurable,"product_attribute_badge=On Sale Badge,gender=male,google_product_category=Apparel & Accessories>Clothing>Shirts & Tops>T-Shirts,filter_color=Black|Grey|White,sizing_chart_info=Size Chart_Men's Tees"
7800021,Migration_Default,simple,"color=Grey Protex Glove T-Shirt,size=S,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800022,Migration_Default,simple,"color=Grey Protex Glove T-Shirt,size=M,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800023,Migration_Default,simple,"color=Grey Protex Glove T-Shirt,size=L,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800024,Migration_Default,simple,"color=Grey Protex Glove T-Shirt,size=XL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800025,Migration_Default,simple,"color=Grey Protex Glove T-Shirt,size=XXL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800184,Migration_Default,simple,"color=White Protex Glove T-Shirt,size=S,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800185,Migration_Default,simple,"color=White Protex Glove T-Shirt,size=M,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800186,Migration_Default,simple,"color=White Protex Glove T-Shirt,size=L,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800187,Migration_Default,simple,"color=White Protex Glove T-Shirt,size=XL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800188,Migration_Default,simple,"color=White Protex Glove T-Shirt,size=XXL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800189,Migration_Default,simple,"color=Black Protex Glove T-Shirt,size=S,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800190,Migration_Default,simple,"color=Black Protex Glove T-Shirt,size=M,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800192,Migration_Default,simple,"color=Black Protex Glove T-Shirt,size=XL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800193,Migration_Default,simple,"color=Black Protex Glove T-Shirt,size=XXL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
protex-gloves-mens-t-shirt,Migration_Default,configurable,"product_attribute_badge=On Sale Badge,gender=male,google_product_category=Apparel & Accessories>Clothing>Shirts & Tops>T-Shirts,filter_color=Black|Grey|White,sizing_chart_info=Size Chart_Men's Tees"
7800026,Migration_Default,simple,"color=White Bronx T-Shirt,size=S,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800027,Migration_Default,simple,"color=White Bronx T-Shirt,size=M,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800028,Migration_Default,simple,"color=White Bronx T-Shirt,size=L,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800029,Migration_Default,simple,"color=White Bronx T-Shirt,size=XL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800030,Migration_Default,simple,"color=White Bronx T-Shirt,size=XXL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800194,Migration_Default,simple,"color=Black Bronx T-Shirt,size=S,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800195,Migration_Default,simple,"color=Black Bronx T-Shirt,size=M,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800197,Migration_Default,simple,"color=Black Bronx T-Shirt,size=XL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800198,Migration_Default,simple,"color=Black Bronx T-Shirt,size=XXL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800199,Migration_Default,simple,"color=Grey Bronx T-Shirt,size=S,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800200,Migration_Default,simple,"color=Grey Bronx T-Shirt,size=M,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800201,Migration_Default,simple,"color=Grey Bronx T-Shirt,size=L,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800202,Migration_Default,simple,"color=Grey Bronx T-Shirt,size=XL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800203,Migration_Default,simple,"color=Grey Bronx T-Shirt,size=XXL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
bronx-nyc-mens-t-shirt,Migration_Default,configurable,"product_attribute_badge=On Sale Badge,gender=male,google_product_category=Apparel & Accessories>Clothing>Shirts & Tops>T-Shirts,filter_color=Black|Grey|White,sizing_chart_info=Size Chart_Men's Tees"
7800036,Migration_Default,simple,"color=White Bronx Born T-Shirt,size=S,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800037,Migration_Default,simple,"color=White Bronx Born T-Shirt,size=M,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800038,Migration_Default,simple,"color=White Bronx Born T-Shirt,size=L,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800039,Migration_Default,simple,"color=White Bronx Born T-Shirt,size=XL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800040,Migration_Default,simple,"color=White Bronx Born T-Shirt,size=XXL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800219,Migration_Default,simple,"color=Black Bronx Born T-Shirt,size=S,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800220,Migration_Default,simple,"color=Black Bronx Born T-Shirt,size=M,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800222,Migration_Default,simple,"color=Black Bronx Born T-Shirt,size=XL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800223,Migration_Default,simple,"color=Black Bronx Born T-Shirt,size=XXL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800224,Migration_Default,simple,"color=Grey Bronx Born T-Shirt,size=S,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800225,Migration_Default,simple,"color=Grey Bronx Born T-Shirt,size=M,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800226,Migration_Default,simple,"color=Grey Bronx Born T-Shirt,size=L,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800227,Migration_Default,simple,"color=Grey Bronx Born T-Shirt,size=XL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800228,Migration_Default,simple,"color=Grey Bronx Born T-Shirt,size=XXL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
born-in-the-bronx-mens-t-shirt,Migration_Default,configurable,"product_attribute_badge=On Sale Badge,gender=male,google_product_category=Apparel & Accessories>Clothing>Shirts & Tops>T-Shirts,offline_product=No,filter_color=Black|Grey|White,sizing_chart_info=Size Chart_Men's Tees,exclude_tag=Yes"
7800042,Migration_Default,simple,"color=Black Camo Womens T-Shirt,size=S,gender=female,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800043,Migration_Default,simple,"color=Black Camo Womens T-Shirt,size=M,gender=female,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800044,Migration_Default,simple,"color=Black Camo Womens T-Shirt,size=L,gender=female,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800045,Migration_Default,simple,"color=Black Camo Womens T-Shirt,size=XL,gender=female,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800230,Migration_Default,simple,"color=Grey Camo Womens T-Shirt,size=S,gender=female,google_product_category=Apparel & Accessories > Clothing > Outerwear"
7800231,Migration_Default,simple,"color=Grey Camo Womens T-Shirt,size=M,gender=female,google_product_category=Apparel & Accessories > Clothing > Outerwear"
